E,D(E)
-0.138804,1.25134e+228
-0.134894,1.93477e+228
-0.130984,8.31816e+227
-0.127074,-1.03706e+228
-0.123164,-1.94881e+228
-0.119254,-1.06603e+228
-0.115344,7.96363e+227
-0.111434,1.9255e+228
-0.107524,1.28591e+228
-0.103614,-5.3296e+227
-0.0997045,-1.86201e+228
-0.0957945,-1.48443e+228
-0.0918845,2.5188e+227
-0.0879746,1.75681e+228
-0.0840646,1.65473e+228
-0.0801546,4.06744e+226
-0.0762446,-1.60985e+228
-0.0723346,-1.79038e+228
-0.0684247,-3.37525e+227
-0.0645147,1.42268e+228
-0.0606047,1.88579e+228
-0.0566947,6.30792e+227
-0.0527847,-1.19844e+228
-0.0488748,-1.93648e+228
-0.0449648,-9.12225e+227
-0.0410548,9.41878e+227
-0.0371448,1.93938e+228
-0.0332348,1.17357e+228
-0.0293249,-6.59123e+227
-0.0254149,-1.89302e+228
-0.0215049,-1.40697e+228
-0.0175949,3.57504e+227
-0.0136849,1.79766e+228
-0.00977495,1.60531e+228
-0.00586497,-4.52318e+226
-0.00195499,-1.65533e+228
0.00195499,-1.76262e+228
0.00586497,-2.6897e+227
0.00977495,1.46977e+228
0.0136849,1.87431e+228
0.0175949,5.76255e+227
0.0215049,-1.24624e+228
0.0254149,-1.93741e+228
0.0293249,-8.68059e+227
0.0332348,9.91313e+227
0.0371448,1.95071e+228
0.0410548,1.13649e+228
0.0449648,-7.12554e+227
0.0488748,-1.91476e+228
0.0527847,-1.37468e+228
0.0566947,4.18131e+227
0.0606047,1.83182e+228
0.0645147,1.57705e+228
0.0684247,-1.16449e+227
0.0723346,-1.70569e+228
0.0762446,-1.73952e+228
0.0801546,-1.84247e+227
0.0840646,1.5415e+228
0.0879746,1.85966e+228
0.0918845,4.76229e+227
0.0957945,-1.34536e+228
0.0997045,-1.93664e+228
0.103614,-7.52609e+227
0.107524,1.12408e+228
0.111434,1.97125e+228
0.115344,1.00759e+228
0.119254,-8.84816e+227
0.123164,-1.96569e+228
0.127074,-1.23663e+228
0.130984,6.34698e+227
0.134894,1.9234e+228
0.138804,1.43657e+228
0.142714,-3.80563e+227
0.146624,-1.84883e+228
0.150534,-1.60565e+228
0.154444,1.28673e+227
0.158354,1.74713e+228
0.162264,1.74341e+228
0.166174,1.15487e+227
0.170084,-1.62388e+228
0.173994,-1.85068e+228
0.177904,-3.47347e+227
0.181814,1.48488e+228
0.185724,1.92931e+228
0.189634,5.63331e+227
0.193544,-1.33583e+228
0.197454,-1.98207e+228
0.201364,-7.60863e+227
0.205274,1.18223e+228
0.209184,2.01238e+228
0.213094,9.38328e+227
0.217004,-1.02916e+228
0.220914,-2.02415e+228
0.224824,-1.09497e+228
0.228734,8.81204e+227
0.232644,2.02154e+228
0.236554,1.23077e+228
0.240464,-7.42426e+227
0.244374,-2.00881e+228
0.248284,-1.34628e+228
0.252194,6.1634e+227
0.256104,1.99013e+228
0.260014,1.44243e+228
0.263924,-5.05964e+227
0.267834,-1.96946e+228
0.271744,-1.52036e+228
0.275654,4.13884e+227
0.279564,1.95041e+228
0.283474,1.58121e+228
0.287384,-3.4234e+227
0.291294,-1.93618e+228
0.295204,-1.62593e+228
0.299114,2.93333e+227
0.303023,1.9294e+228
0.306933,1.65507e+228
0.310843,-2.68711e+227
0.314753,-1.9321e+228
0.318663,-1.66862e+228
0.322573,2.70249e+227
0.326483,1.94551e+228
0.330393,1.66578e+228
0.334303,-2.99683e+227
0.338213,-1.96998e+228
0.342123,-1.64486e+228
0.346033,3.5869e+227
0.349943,2.00473e+228
0.353853,1.60306e+228
0.357763,-4.48778e+227
0.361673,-2.04762e+228
0.365583,-1.53643e+228
0.369493,5.71063e+227
0.373403,2.09479e+228
0.377313,1.43982e+228
0.381223,-7.25886e+227
0.385133,-2.14033e+228
0.389043,-1.30701e+228
0.392953,9.12249e+227
0.396863,2.17583e+228
0.400773,1.13101e+228
0.404683,-1.12702e+228
0.408593,-2.19009e+228
0.412503,-9.04712e+227
0.416413,1.36389e+228
0.420323,2.16884e+228
0.424233,6.21941e+227
0.428143,-1.61219e+228
0.432053,-2.09493e+228
0.435963,-2.79038e+227
0.439873,1.85552e+228
0.443783,1.94903e+228
0.447693,-1.22865e+227
0.451603,-2.07061e+228
0.455513,-1.71129e+228
0.459423,5.74941e+227
0.463333,2.22668e+228
0.467243,1.3643e+228
0.471153,-1.05727e+228
0.475063,-2.28601e+228
0.478973,-8.97723e+227
0.482883,1.5355e+228
0.486793,2.20663e+228
0.490703,3.14652e+227
0.494613,-1.95849e+228
0.498523,-1.94806e+228
0.502432,3.60598e+227
0.506342,2.25871e+228
0.510252,1.48102e+228
0.514162,-1.07465e+228
0.518072,-2.35744e+228
0.521982,-8.0146e+227
0.525892,1.73978e+228
0.529802,2.17748e+228
0.533712,-5.25237e+226
0.537622,-2.23555e+228
0.541532,-1.66516e+228
0.545442,9.84839e+227
0.549352,2.42289e+228
0.553262,8.21049e+227
0.557172,-1.83419e+228
0.561082,-2.17605e+228
0.564992,2.66212e+227
0.568902,2.38685e+228
0.572812,1.43387e+228
0.576722,-1.39617e+228
0.580632,-2.4215e+228
0.584542,-2.62783e+227
0.588452,2.26449e+228
0.592362,1.7923e+228
0.596272,-1.09194e+228
0.600182,-2.52761e+228
0.604092,-5.38449e+227
0.608002,2.20739e+228
0.611912,1.93796e+228
0.615822,-1.02293e+228
0.619732,-2.58489e+228
0.623642,-5.27631e+227
0.627552,2.29799e+228
0.631462,1.87629e+228
0.635372,-1.24435e+228
0.639282,-2.59849e+228
0.643192,-1.8144e+227
0.647102,2.52831e+228
0.651012,1.52949e+228
0.654922,-1.75923e+228
0.658832,-2.44399e+228
0.662742,5.61173e+227
0.666652,2.74535e+228
0.670562,7.35134e+227
0.674472,-2.43804e+228
0.678382,-1.84022e+228
0.682292,1.66382e+228
0.686202,2.56761e+228
0.690112,-6.31333e+227
0.694022,-2.85008e+228
0.697932,-4.50255e+227
0.701841,2.72105e+228
0.705751,1.41704e+228
0.709661,-2.27779e+228
0.713571,-2.17071e+228
0.717481,1.64252e+228
0.721391,2.67753e+228
0.725301,-9.31611e+227
0.729211,-2.95422e+228
0.733121,2.37193e+227
0.737031,3.04893e+228
0.740941,3.79208e+227
0.744851,-3.02348e+228
0.748761,-8.84268e+227
0.752671,2.94007e+228
0.756581,1.26535e+228
0.760491,-2.85312e+228
0.764401,-1.52107e+228
0.768311,2.80525e+228
0.772221,1.65208e+228
0.776131,-2.82542e+228
0.780041,-1.65324e+228
0.783951,2.92702e+228
0.787861,1.50806e+228
0.791771,-3.10375e+228
0.795681,-1.18661e+228
0.799591,3.32163e+228
0.803501,6.49758e+227
0.807411,-3.50685e+228
0.811321,1.35627e+227
0.815231,3.53314e+228
0.819141,-1.16387e+228
0.823051,-3.21924e+228
0.826961,2.33566e+228
0.830871,2.35924e+228
0.834781,-3.38992e+228
0.838691,-8.19342e+227
0.842601,3.86468e+228
0.846511,-1.2744e+228
0.850421,-3.18516e+228
0.854331,3.30238e+228
0.858241,1.0151e+228
0.862151,-4.089e+228
0.866061,2.1027e+228
